time,pressure,joint,resample_u1_start,resample_u1_mid,resample_u1_end,resample_u2_start,resample_u2_mid,resample_u2_end,u1_init_offset_start,u1_init_offset_mid,u1_init_offset_end,L_init,L_arc,R_arc,u1_center_arc,u2_center_arc,theta_arc,theta_arc_start,theta_arc_end,delta_L,theta_joint
0.01,0.003,MCP,0,15.403365933009168,30.028572094454983,0,0.007672920678357224,-0.008917909142261433,0,15.4,30,30,30.028586756547142,9196.937084269162,12.282976142282703,-9196.928881996559,0.003265063844778207,-0.0013355511385209353,0.0019295127063258088,0.028586756547142045,0.13150505650742048
0.02,0.006,MCP,0,15.386617132058928,30.02034972505344,0,0.037784367278638875,0.07146480860244095,0,15.4,30,30,30.020434931249426,97404.6888921141,246.88580941829719,-97404.37600830183,3.0820318069595397e-4,-0.002534642598585293,6.280958867761441,0.02043493124942586,-0.014583655419794344
0.03,0.009,MCP,0,15.370826622954805,30.013696275967675,0,0.06674783972885077,0.14775919748716754,0,15.4,30,30,30.014067069576473,12611.50938489703,-47.079560274825255,12611.421509106347,0.002379894916108928,3.137859581822814,3.1354796869066255,0.014067069576473301,-0.14746236179371117
0.04,0.012,MCP,0,15.35596731750172,30.008559475847182,0,0.0945991723226183,0.22009760090565597,0,15.4,30,30,30.009395530972856,6240.56575996008,-30.76574931164695,6240.489922518538,0.004808762007367233,3.1366626720591326,3.131853910051673,0.009395530972856392,-0.2675849121555402
0.05,0.015,MCP,0,15.342012127504589,30.004887053341463,0,0.12137419935356687,0.2886123622516441,0,15.4,30,30,30.006336132687736,4293.992419750239,-26.298641922724247,4293.9118857174435,0.006987980694766355,3.135468095424819,3.1284801147300394,0.006336132687735585,-0.37540573189059007
0.06,0.018,MCP,0,15.328933964768332,30.002626737100005,0,0.1471087551153219,0.3534358249188695,0,15.4,30,30,30.004808064496157,3361.066728694435,-24.589458219970357,3360.9767796402816,0.00892716821369124,3.1342766198534786,3.1253494516398077,0.004808064496156561,-0.4713796288883339
0.07,0.021,MCP,0,15.316753471854414,30.001817988628115,0,0.17177779926984024,0.4144730650889998,0,15.4,30,30,30.00482184605201,2824.98693475492,-24.021818498366525,2824.8848000886746,0.01062122499644589,3.1330892132013757,3.122467988204925,0.0048218460520104145,-0.5551563407586865
0.08,0.024,MCP,0,15.305523805336222,30.00256282164432,0,0.19531258185260114,0.4714693077604407,0,15.4,30,30,30.006448691851627,2489.1217569711666,-24.10798845666106,2489.005007210673,0.012055034514809881,3.1319071629879147,3.119852128473099,0.006448691851627331,-0.6258310581648571
0.09,0.027,MCP,0,15.295266648036549,30.00490279311791,0,0.21768337271751365,0.5243171195520369,0,15.4,30,30,30.009702141391983,2269.4592851828825,-24.64802600910966,2269.325433232672,0.013223282892679732,3.1307316917920134,3.1175084088993392,0.009702141391983332,-0.6830264645942493
0.1,0.03,MCP,0,15.286003682778203,30.00887946001821,0,0.23886044171848692,0.5729090670826337,0,15.4,30,30,30.014597121857754,2125.5654780943496,-25.5670027400792,2125.411708360841,0.014120758655135377,3.1295640336519734,3.1154432749968257,0.014597121857754303,-0.7263644835720294
0.11,0.033,MCP,0,15.27775659238398,30.014534379314522,0,0.2588140587094299,0.6171377169710759,0,15.4,30,30,30.0211501463991,2036.3881214520388,-26.853525909221528,2036.2110571689777,0.014742351828782342,3.128405430604367,3.1136630787755863,0.02115014639910129,-0.7554661645818737
0.12,0.036,MCP,0,15.270547059676677,30.02190910797616,0,0.27751449354425173,0.6568956358362084,0,15.4,30,30,30.02937951504638,1990.9350716073031,-28.540120645123302,1990.7304993066084,0.015083053155924035,3.1272571292378224,3.112174076081916,0.029379515046379368,-0.7699515840536053
0.13,0.039,MCP,0,15.264427363282238,30.03109620299925,0,0.2948973628661429,0.6919606671049331,0,15.4,30,30,30.039353624898396,1985.1990196431354,-30.71291344937114,1984.9614264613601,0.01513165850258094,3.1261210870273746,3.1109894285247925,0.03935362489839633,-0.7688763725723177
0.14,0.042,MCP,0,15.259406456570753,30.0421086597529,0,0.3109541877000732,0.722308125345777,0,15.4,30,30,30.051068273287722,2018.3457236889726,-33.49105082429517,2018.0678407447672,0.014888959765704934,3.1249985748272726,3.1101096150615675,0.05106827328772212,-0.7520557725917394
0.15,0.045,MCP,0,15.255441034481269,30.054868692765886,0,0.32573909447262045,0.7481267838900219,0,15.4,30,30,30.064437051207445,2092.4614011876224,-37.04071132798675,2092.1335285216346,0.014367976887957748,3.1238897482490158,3.1095217713610492,0.06443705120744525,-0.7202483335804479
0.16,0.048,MCP,0,15.252487791952827,30.06929851656699,0,0.3393062096103628,0.7696054160689502,0,15.4,30,30,30.07937688226878,2214.7042602114243,-41.62949640502945,2214.312973639385,0.0135816675041738,3.122794681788395,3.1092130142842396,0.07937688226877881,-0.6742125172049939
0.17,0.051,MCP,0,15.250503423924458,30.085320345684973,0,0.35170965953987793,0.7869327952138436,0,15.4,30,30,30.095807653362186,2399.4265000652917,-47.69573413785662,2398.9524059807077,0.012542917089789263,3.1217133717164276,3.1091704546266463,0.09580765336218633,-0.6147068743374725
0.18,0.054,MCP,0,15.24944462533521,30.102856394648626,0,0.363003570687744,0.8002976946559849,0,15.4,30,30,30.113651861672583,2673.3161856025595,-55.993630282541794,2672.7297172689196,0.0112645305571608,3.1206457392125593,3.1093812086554182,0.11365186167258301,-0.5424902281142336
0.19,0.057,MCP,0,15.249268091124117,30.12182887798671,0,0.3732420694805388,0.8098888877266555,0,15.4,30,30,30.132834276322995,3087.62570416236,-67.92543450794949,3086.8784596013843,0.009759225101572898,3.119591633662965,3.1098324085613873,0.1328342763229955,-0.4583218548482222
0.2,0.06,MCP,0,15.249777140567717,30.141868970205408,0,0.38271229898278536,0.8167663527690763,0,15.4,30,30,30.15301538685722,3725.007705393977,-85.82923438408628,3724.0187630796845,0.008094752486872527,3.118549256769171,3.110454504282312,0.15301538685721994,-0.3654928125588114
0.21,0.063,MCP,0,15.25091008613697,30.162857231155456,0,0.3915122182105391,0.8213002290980248,0,15.4,30,30,30.17408653052356,4792.606106381499,-115.366778555321,4791.217360685173,0.006295966299075958,3.1175185025953716,3.1112225362962933,0.17408653052356016,-0.26499514253210243
0.22,0.066,MCP,0,15.252826112562518,30.185089953382466,0,0.39941217751767577,0.8226445315021166,0,15.4,30,30,30.19632116704127,7003.607385585338,-175.70786277716167,7001.40294215265,0.00431153825515557,3.1165018267355387,3.112190288480373,0.196321167041269,-0.1541377034224581
0.23,0.069,MCP,0,15.25568440457501,30.20886342943205,0,0.4061825272580715,0.819953274769968,0,15.4,30,30,30.219994799352545,14454.85887154145,-377.0963158210719,14449.939216646371,0.0020906461327581207,3.11550183484954,3.1134111887167437,0.21999479935254485,-0.03022625888464509
0.24,0.072,MCP,0,15.25964414690511,30.23447395184984,0,0.4115936177856022,0.8123804736901955,0,15.4,30,30,30.245386218929053,72529.79870787216,1963.2421793095405,-72503.22324386575,4.1700634439574574e-4,-0.027071383509587467,6.256530930015057,0.24538621892905255,0.109436417422192
0.25,0.075,MCP,0,15.264864524283464,30.26221781318145,0,0.41541579945414403,0.7990801430514152,0,15.4,30,30,30.272779328575226,9282.820533373537,260.16017958547064,-9279.1741947104,0.0032611617578664504,-0.028029654142236474,6.25841681479518,0.2727793285752256,0.2675502900524435
0.26,0.078,MCP,0,15.271568620034037,30.292992070397275,0,0.417608918742809,0.7798224551051082,0,15.4,30,30,30.30308046317799,4690.524362479449,135.85249179052153,-4688.556589771264,0.0064604888753119144,-0.02896722884893131,6.260678567205929,0.30308046317799153,0.4476605572121913
0.27,0.081,MCP,0,15.279767434904398,30.3270651868847,0,0.4183081042552111,0.7550648427507484,0,15.4,30,30,30.33658938339809,3037.535379486815,90.76587142573396,-3036.1789700573377,0.009987238202480916,-0.029885868962247118,6.263286676419823,0.3365893833980884,0.6498222384986929
0.28,0.084,MCP,0,15.289302029760607,30.3637905648148,0,0.4175466295319788,0.7249922117489402,0,15.4,30,30,30.37268635606177,2197.5200270229507,67.6355875199668,-2196.4789314873424,0.013821346782995467,-0.03078300525532111,6.266223648707243,0.37268635606177014,0.8715151631709952
0.29,0.087,MCP,0,15.300013465468714,30.402521606358665,0,0.41535776811374076,0.6897894678602886,0,15.4,30,30,30.410753722301735,1694.832647159121,53.64313416265303,-1693.9835052424805,0.017943219215936303,-0.03165627873424677,6.269472247661278,0.41075372230173457,1.1102445537729646
0.3,0.09,MCP,0,15.311742802894782,30.44261171368739,0,0.4117747935411256,0.6496415168453982,0,15.4,30,30,30.450175413277233,1363.4080498084002,44.307826522495965,-1362.6879051313244,0.022333867999060442,-0.03250357017317996,6.273015605005468,0.45017541327723265,1.3635490880642216
0.31,0.093,MCP,0,15.324331102904864,30.483414288972053,0,0.4068309793547619,0.6047332644648735,0,15.4,30,30,30.49033650468575,1130.3167334606112,37.65860238541769,-1129.6892261181583,0.026975037705878804,-0.0333230250212508,6.276837319864212,0.4903365046857502,1.6290072352631182
0.32,0.096,MCP,0,15.337619426365013,30.52428273438374,0,0.4005595990952783,0.5552496164793195,0,15.4,30,30,30.530622813736937,958.5959326173084,32.694312130857284,-958.0382267867694,0.03184931395481458,-0.03411307408153553,6.280921547052861,0.5306228137369366,1.904241889661304
0.33,0.099,MCP,0,15.352524899668921,30.567568622837634,0,0.3920885487447142,0.49790532589730496,0,15.4,30,30,30.573382286551755,822.8010745696142,28.682036939269615,-822.3010087978284,0.037157683954829414,-0.03486608104844411,0.0022916029063881245,0.5733822865517553,2.2044013460990377
0.34,0.102,MCP,0,15.36963080508087,30.615025849899162,0,0.38098971910092705,0.43102512226729245,0,15.4,30,30,30.620419177201146,712.0560415659573,25.329150532114394,-711.6053965955443,0.043002821954660424,-0.035579355881206004,0.007423466073458876,0.6204191772011463,2.538869583913336
0.35,0.105,MCP,0,15.38827743727279,30.665111301714738,0,0.36796237592827163,0.35720887615972524,0,15.4,30,30,30.67028787457424,623.0957546117057,22.588124770220787,-622.6861938685456,0.04922243113931506,-0.03625939506335658,0.012963036075958157,0.6702878745742389,2.8966780233691223
0.36,0.108,MCP,0,15.40780509091661,30.716281864430805,0,0.3537057849911029,0.2790564581450475,0,15.4,30,30,30.72151456008345,551.9785015394949,20.37069982596549,-551.602484358425,0.055657085329228674,-0.036913261391136064,0.018743823938088985,0.7215145600834489,3.2668996246923
0.37,0.111,MCP,0,15.427554060684274,30.766994424193786,0,0.33891921205377606,0.19916773879370342,0,15.4,30,30,30.772591526592567,495.13027456577413,18.587069851687065,-494.78127453038013,0.06215049474318637,-0.03754857895749756,0.024601915785686844,0.7725915265925671,3.638662433312477
0.38,0.114,MCP,0,15.446864641247707,30.815705867150122,0,0.324301922880646,0.12014258867613713,0,15.4,30,30,30.82197445728458,449.63041444706937,17.15980451340396,-449.3028496514407,0.06854957642308904,-0.03817351376625128,0.030376062656834835,0.8219744572845791,4.001155236326967
0.39,0.117,MCP,0,15.46578392384462,30.862748252619486,0,0.3099456365395746,0.04218316458136988,0,15.4,30,30,30.86998354775911,412.40370673277243,15.994651712929569,-412.0934219852492,0.07485379748965765,-0.038793696606385014,0.036060100883274514,0.8699835477591087,4.354474624724161
0.4,0.12,MCP,0,15.484863774352664,30.909574236911435,0,0.2953562224577198,-0.03661948810070732,0,15.4,30,30,30.918085303370628,380.85313448883596,15.003951098722514,-380.5574746360903,0.08118112338728024,-0.03940583262920235,0.04177529075807854,0.9180853033706278,4.707318947616069
0.41,0.123,MCP,0,15.504201649403694,30.95632160165723,0,0.2803541719383811,-0.11683216589834755,0,15.4,30,30,30.966432909191056,353.6663540170727,14.144678027168181,-353.3833867731152,0.0875583231411835,-0.04000508231483298,0.047553240826348736,0.966432909191056,5.061822897855621
0.42,0.126,MCP,0,15.52389500562956,31.00312812848812,0,0.2647599762848577,-0.19902166533980267,0,15.4,30,30,31.01518729606634,329.90723751267257,13.386138443789461,-329.6355512695902,0.09401184263159722,-0.04058660353696956,0.05342523909462841,1.0151872960663404,5.420119289642706
0.43,0.129,MCP,0,15.544041299662121,31.050131599035378,0,0.24839412680044926,-0.283754782953325,0,15.4,30,30,31.0645174320861,308.89127898523617,12.70591714873442,-308.62984609811235,0.10056780344896324,-0.04114555449156595,0.05942224895739809,1.0645174320860988,5.784338244554634
0.44,0.132,MCP,0,15.564737988133233,31.097469794930255,0,0.2310771147884551,-0.3715983152671667,0,15.4,30,30,31.11460073086636,290.1074188509781,12.087335192744547,-289.8554998621125,0.1072519994631687,-0.041677097380073615,0.0655749020830958,1.1146007308663606,6.156606135002378
0.45,0.135,MCP,0,15.585333368479098,31.145090034995917,0,0.21421544325376718,-0.45780342211622044,0,15.4,30,30,31.165272468112708,273.8285646677329,11.554473132393,-273.5846797220626,0.11381308047949289,-0.04220854275345883,0.0716045377260321,1.1652724681127076,6.523321782326324
0.46,0.138,MCP,0,15.605533288381737,31.19297219144121,0,0.19848110386139126,-0.5401713790768247,0,15.4,30,30,31.216419257274637,259.83281458318015,11.10572792943883,-259.59536656376315,0.12014040377213918,-0.042754846693861814,0.07738555707827621,1.2164192572746373,6.877857186993794
0.47,0.141,MCP,0,15.625971529841744,31.241302875975947,0,0.18259282090479761,-0.6230941562894003,0,15.4,30,30,31.268350283898197,247.23980089869087,10.700395539825156,-247.00813890176897,0.12646972765000217,-0.04329294401528635,0.08317678363471573,1.2683502838981973,7.232894175075881
0.48,0.144,MCP,0,15.647281874859695,31.290268700309902,0,0.16526931867745598,-0.7109637238943697,0,15.4,30,30,31.32143717460609,235.43671737502814,10.308852444046472,-235.21091694395426,0.13303548199202098,-0.04380008973494217,0.08923539225707847,1.3214371746060891,7.601231994830845
0.49,0.147,MCP,0,15.670098105436177,31.34005627615285,0,0.14522932147283663,-0.8081720520321537,0,15.4,30,30,31.376118233772708,224.00192764887882,9.909722970422187,-223.78261992626466,0.1400707510113686,-0.04425389709573457,0.09581685391563362,1.3761182337727078,7.995785198526294
0.5,0.15,MCP,0,15.695054003571773,31.3908522152146,0,0.12119155358440963,-0.9191111108431735,0,15.4,30,30,31.432910301107913,212.66115209891586,9.488452411702497,-212.44937016350292,0.14780748618575812,-0.044632521335027514,0.10317496485073165,1.4329103011079134,8.429599428983432
0.51,0.153,MCP,0,15.722721109608598,31.444617830373854,0,0.09289911006129713,-1.045069645401279,0,15.4,30,30,31.494038917435788,201.46217829780957,9.05079052757098,-201.2587699339446,0.15632730264079653,-0.044940633072842885,0.11138666956795204,1.4940389174357875,8.910349668608523
0.52,0.156,MCP,0,15.752815492936344,31.502225884446506,0,0.0614043430060568,-1.1826570162737942,0,15.4,30,30,31.56040253237951,190.7542942187649,8.619326605970215,-190.55946046249903,0.16545054810763388,-0.04520088207590446,0.12024966603172856,1.5604025323795092,9.430018950440111
0.53,0.159,MCP,0,15.784687729126954,31.56223016404814,0,0.02738986229231203,-1.3292461168413556,0,15.4,30,30,31.630563643867347,180.72646848880788,8.205643903784976,-180.5400892338329,0.17501898813358477,-0.0454192786677908,0.12959970946579452,1.6305636438673474,9.978265454570385
0.54,0.162,MCP,0,15.817688393752393,31.623184455794338,0,-0.008461722206313731,-1.4822098404845994,0,15.4,30,30,31.70303265453101,171.48085400958303,7.817207604689078,-171.3025818752336,0.18487797274883713,-0.04560227851414869,0.13927569423468833,1.703032654531011,10.544816555869103
0.55,0.165,MCP,0,15.851168062384597,31.683642546300675,0,-0.045467800616197165,-1.6389210805841605,0,15.4,30,30,31.77626110114123,163.05815182248813,7.458419591770913,-162.88748525580064,0.19487686292270862,-0.04575682198832909,0.14912004093437867,1.7762611011412304,11.119493055323941
0.56,0.168,MCP,0,15.884477310595527,31.742158222182717,0,-0.08294576306371487,-1.796752730520675,0,15.4,30,30,31.848637780940653,155.45834043349774,7.131535522897632,-155.29467734414766,0.20486927682445524,-0.04589036006768749,0.15897891675676787,1.8486377809406527,11.69222664280737
0.57,0.171,MCP,0,15.916966713957123,31.797285270056044,0,-0.12021299967524346,-1.953077683674778,0,15.4,30,30,31.918487611370683,148.6564222204028,6.837396867170794,-148.49909720753007,0.21471314279343617,-0.046010860625486046,0.16870228216794952,1.9184876113706828,12.25306838537109
0.58,0.174,MCP,0,15.948635552375208,31.84997570771602,0,-0.15676329608182724,-2.1064985769956315,0,15.4,30,30,31.986601830345844,142.57253569699606,6.575196681998752,-142.42083669064806,0.22435318046335195,-0.04613461964478124,0.17821856081857168,1.986601830345844,12.799599424742574
0.59,0.177,MCP,0,15.980092798163245,31.902073708133038,0,-0.19297930474871253,-2.2587599014313127,0,15.4,30,30,32.05495501383411,137.04842445044017,6.337953842369031,-136.90179321484436,0.23389510052649976,-0.046262590828060064,0.18763250969844,2.0549550138341104,13.339961558760342
0.6,0.18,MCP,0,16.011603565504647,31.953471290685226,0,-0.22951171605357698,-2.4119473313608237,0,15.4,30,30,32.123637568629334,131.9562712993104,6.118008110105905,-131.814367623495,0.24344153750574501,-0.046380532453515214,0.19706100505222882,2.1236375686293343,13.880194210853587
0.61,0.183,MCP,0,16.043432968582824,32.00406047475071,0,-0.2670112203740986,-2.5681465411631663,0,15.4,30,30,32.192790126561526,127.19641133640326,5.909291420626208,-127.05907024595139,0.2530951132058239,-0.04647473259553802,0.20662038061028615,2.192790126561526,14.42640835463597
0.62,0.186,MCP,0,16.07584612158118,32.05373327970761,0,-0.3061285080879554,-2.7294432052173456,0,15.4,30,30,32.26260475222438,122.69091697498487,5.706992855340051,-122.55811413656677,0.2629583798676989,-0.04653199279148209,0.216426387076216,2.2626047522243766,14.984781874617433
0.63,0.189,MCP,0,16.109108138683133,32.10238172493405,0,-0.3475142695728254,-2.8979229979023637,0,15.4,30,30,32.33332782256379,118.37907354216986,5.507331079551122,-118.25089579822502,0.273133813731409,-0.04653964173762695,0.22659417199378182,2.3333278225637883,15.561557744312926
0.64,0.192,MCP,0,16.14289946239789,32.151780382574074,0,-0.38961807311818275,-3.068969177949169,0,15.4,30,30,32.4062548161398,114.34917756572008,5.319256689796011,-114.22539086483636,0.28339735803971916,-0.04653445750410649,0.23686290053561213,2.4062548161398,16.145659048844646
0.65,0.195,MCP,0,16.176912223179066,32.202919009608,0,-0.4312677395607466,-3.2390322140082985,0,15.4,30,30,32.48192254217754,110.64300415935207,5.147716280847954,-110.52318936086803,0.29357411965600555,-0.04654225787960832,0.2470318617763974,2.481922542177543,16.727623479822373
0.66,0.198,MCP,0,16.211429067126694,32.25451240266845,0,-0.47368133809906227,-3.411798595338141,0,15.4,30,30,32.55955776734564,107.15931126183958,4.98493924479487,-107.04330138237293,0.3038425441890685,-0.04653574991818197,0.2573067942708869,2.5595577673456376,17.316396043072757
0.67,0.201,MCP,0,16.246732640340802,32.30527535838799,0,-0.5180769379316754,-3.590954811197082,0,15.4,30,30,32.638488689252995,103.81735760316485,4.824668279180677,-103.70518943475913,0.31438373546369297,-0.046489399519569354,0.26789433594412293,2.638488689252995,17.92121656165456
0.68,0.204,MCP,0,16.283105588921423,32.35392267339922,0,-0.5656726082571308,-3.780187350843507,0,15.4,30,30,32.718151234747324,100.55323298075177,4.661930844059628,-100.44510472734125,0.32538139515623865,-0.0463794397085625,0.27900195544767603,2.7181512347473245,18.55162042872024
0.69,0.207,MCP,0,16.320830558968584,32.39916914433473,0,-0.617686418273975,-3.983182703535806,0,15.4,30,30,32.798101075102686,97.31733661178716,4.492909999540802,-97.21356780279136,0.3370221814221964,-0.04618403829327605,0.29083814312891965,2.798101075102686,19.217459840153335
0.7,0.21,MCP,0,16.36110976873552,32.44421904689875,0,-0.6751300272959998,-4.20438981048584,0,15.4,30,30,32.882654701686455,94.07186269948822,4.316762190072915,-93.97276688459121,0.34954824703248216,-0.04590404050798142,0.30364420652450164,2.882654701686455,19.936514925339353
0.71,0.213,MCP,0,16.404184283056093,32.49177526690605,0,-0.7372166095524396,-4.44203346569588,0,15.4,30,30,32.974623485235405,90.87243840840226,4.139019045277204,-90.77812833293983,0.36286715821401905,-0.04556333666727106,0.31730382154674686,2.974623485235405,20.706724183779805
0.72,0.216,MCP,0,16.44889501790129,32.539800516155076,0,-0.8024665066150042,-4.6904639376099295,0,15.4,30,30,33.07127946973122,87.7986019389072,3.9650990275054845,-87.70902172598184,0.37667205102813794,-0.045176665802626706,0.3314953852255117,3.0712794697312233,21.50853465055951
0.73,0.219,MCP,0,16.494082889242108,32.586257506444234,0,-0.8694000600554025,-4.944031494671989,0,15.4,30,30,33.16970967922026,84.90576590603003,3.7990694297332457,-84.82072951559446,0.3906649840003922,-0.04475948367253728,0.3459055003278557,3.1697096792202615,22.32258942039073
0.74,0.222,MCP,0,16.538588813049522,32.62910894957196,0,-0.9365376114453441,-5.197086405326063,0,15.4,30,30,33.266804616297755,82.22999834181749,3.6439128324023855,-82.14922109530413,0.4045580115180442,-0.044328183797078556,0.3602298277209657,3.2668046162977546,23.129795473107464
0.75,0.225,MCP,0,16.58125370529453,32.666317557336654,0,-1.0023995023565375,-5.44397893801615,0,15.4,30,30,33.35925798729535,79.79279417135193,3.50179758123527,-79.71591695120736,0.41807356583675515,-0.043900237683949475,0.37417332815280613,3.3592579872953507,23.911363437229937
0.76,0.228,MCP,0,16.62256564864561,32.699865941575275,0,-1.0670553761251,-5.685744877765729,0,15.4,30,30,33.44913030857182,77.55725283564608,3.371591492781564,-77.48393277459614,0.431283072641251,-0.04348599563659568,0.3877970770046549,3.4491303085718172,24.672909662352698
0.77,0.231,MCP,0,16.66383070059156,32.73259422690045,0,-1.131904583230738,-5.9280993002644875,0,15.4,30,30,33.5404883776538,75.46023116671677,3.249413490081556,-75.39023676647267,0.44447900382854244,-0.04307459035519183,0.40140441347334976,3.5404883776538014,25.434557012607414
0.78,0.234,MCP,0,16.705116739333825,32.76375139427416,0,-1.1974620259605444,-6.1724114099557434,0,15.4,30,30,33.63293321167001,73.47851746304057,3.1331545288864917,-73.4116875658398,0.45772471156058975,-0.042653347776615794,0.415071363783974,3.6329332116700073,26.199628402170976
0.79,0.237,MCP,0,16.74649164307385,32.79258642465839,0,-1.2642426066016126,-6.420050411282812,0,15.4,30,30,33.72612056419395,71.59232539874506,3.0210625375764764,-71.52855539673543,0.47108569775252934,-0.04221066758422545,0.4288750301683038,3.7261205641939483,26.97160113249142
0.8,0.24,MCP,0,16.78802329001309,32.81834829901512,0,-1.3327612274410368,-6.672385508689016,0,15.4,30,30,33.81976264582305,69.78478037037652,2.9116907147921003,-69.72401041623381,0.4846294917935925,-0.04173597996040905,0.44289351183318276,3.8197626458230474,27.754102396562693
0.81,0.243,MCP,0,16.829779558352993,32.840285998306335,0,-1.4035327907659108,-6.930785906617673,0,15.4,30,30,33.91363072425387,68.04151105780791,2.8038583452713604,-67.98371573700166,0.49842559633105343,-0.04121972673871316,0.4572058695923396,3.9136307242538706,28.55090752229597
0.82,0.246,MCP,0,16.87182832629501,32.857648503494005,0,-1.4770721988633269,-7.1966208095120985,0,15.4,30,30,34.007558635223425,66.35032275699437,2.6966208462622907,-66.29550185320893,0.5125454891873679,-0.0406533632364377,0.4718921259509303,4.007558635223425,29.365940729401753
